"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testEmptyString","","Sat Apr 19 17:52:09 EET 2025","broken","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testEmptyString"
"","1","testZeroYear","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testZeroYear"
"","1","testNullWeekThrowsNPE","","Sat Apr 19 17:52:09 EET 2025","failed","Sat Apr 19 17:52:09 EET 2025","","test.DiscountCalculatorTest","test.DiscountCalculatorTest","testNullWeekThrowsNPE"
"","1","testCompareTo_FutureYear","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testCompareTo_FutureYear"
"","0","testIsTheSpecialWeekWithWrongDate","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.DiscountCalculatorTest","test.DiscountCalculatorTest","testIsTheSpecialWeekWithWrongDate"
"","0","getDiscountPercentage_ShouldWork_ForLastWeek","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.DiscountCalculatorTest","test.DiscountCalculatorTest","getDiscountPercentage_ShouldWork_ForLastWeek"
"","1","testParseYearInvalidFormat","","Sat Apr 19 17:52:09 EET 2025","broken","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testParseYearInvalidFormat"
"","0","testEquals_NullObject","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testEquals_NullObject"
"","1","testNullInput","","Sat Apr 19 17:52:09 EET 2025","broken","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testNullInput"
"","1","testLastMillisecond_FutureYear","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testLastMillisecond_FutureYear"
"","1","testToStringWithMaximumYear","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testToStringWithMaximumYear"
"","1","testEquals_DifferentType","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testEquals_DifferentType"
"","0","testCompareTo_After","","Sat Apr 19 17:52:09 EET 2025","passed","Sat Apr 19 17:52:09 EET 2025","","test.YearTest","test.YearTest","testCompareTo_After"
